period;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11
2010Q1;-2,936176155855075;-1,6910867071285705;0,973340684246211;-0,5437530086213885;1,3011985510700985;-1,2795357528300744;0,4493685563306545;0,10181548686439663;-0,24600745817925146;0,0026022710291018812;0,012182216529843746
2010Q2;-3,0911884079879637;0,3101019734248197;1,4949675557430495;0,10552669492655292;1,5083985150750734;-0,732558633446372;0,20080375484789603;0,24395240160643988;-0,05996643083389301;0,07850363184695539;0,00011865779946409541
2010Q3;-3,3235324197171945;2,0227152330340807;0,6587208866120926;1,1758983465485398;0,6668520709146178;0,05167276839211036;-0,40742369899833286;0,2229096442206202;-0,09616662753822752;0,010342772786150277;0,019346168733744618
2010Q4;-3,2003198640350226;1,9547973332947646;0,47016324721551206;1,611793034731991;0,5411601878935957;-0,006240523868452239;-0,4766883268584258;0,19493138708948482;-0,1587570967386143;-0,004242229554022255;0,0073766599583359
2011Q1;-2,9366529905846575;1,3650791125741344;1,1708768676562886;1,6668908771891404;0,7155060428193133;0,0510862846947353;-0,09287271060652322;-0,13478327261417902;0,011507060871572635;0,0490438994753607;-0,0031819879118497436
2011Q2;-2,910996323979526;0,5790015769525897;1,203088304549992;1,7256369115467207;0,6212561770457571;0,6059411997288983;0,18412296087139857;-0,33916919002853685;-0,02305706158448739;-0,0022855020222873447;-0,017150818027096355
2011Q3;-2,2577854558148607;-0,1690025932894018;-0,44977572439165;1,7625650666184283;0,6014278740767312;0,10917893569929266;-0,7741416689164808;0,338278305394674;0,0761663848721674;0,1515113569189972;-0,05642554045660761
2011Q4;-2,1004945276865925;-2,1237398317910787;-0,6563023982502824;0,9194329376808912;0,49879859363844953;0,22386257684507566;-0,5218941537175625;0,20262938189382956;-0,08357702866193484;0,030812193874546225;0,0020808347746423097
2012Q1;-2,4379360024191574;-1,2280191630222368;0,5750530295251496;0,6574523635345086;0,3946076913833824;0,9706123413716883;-0,0885753662786835;-0,30026055050258105;0,05519026091924386;-0,13491246124734552;0,019314703382549276
2012Q2;-2,2973090056729784;-2,563439803336878;0,34262043570245054;0,0016420470635817703;0,5300386809837125;-0,5692538192476796;-0,08108392390963529;-0,14571844047144303;0,02868126919206794;-0,009936800003166251;0,0048462426246588825
2012Q3;-2,39100885782044;-2,813686413203909;-0,45411804550458884;-0,02084607396041467;-0,026975383101471486;-0,7314022551715696;-0,300541530130147;-0,18391042231504823;-0,06948364543031124;-0,05709069546226729;-0,0013874976293428893
2012Q4;-2,4287444978719357;-0,9386776113812804;0,08353199955307684;0,1766644890603329;0,28141160024755285;0,20585234627289725;-0,6711938629255266;0,05785315492137919;0,07281677564537549;-0,07452449364387367;0,0162215167423758
2013Q1;-2,192890978381657;-2,411558073149838;0,5883084754326218;-0,5853942145292437;0,33615236087169786;-1,20767814297816;0,119839038348336;0,0024829267707263143;0,10091776175251203;-0,02480993450042878;0,009532372342696896
2013Q2;-2,3297673659668052;-1,3995128510654442;0,8913719625882331;-0,3706408314098762;0,3052641608025846;0,00934418412904221;-0,01417334069221045;0,00024892913926253293;0,18695333049897742;-0,08149905034511236;-0,004634144208035326
2013Q3;-2,5486425942356346;-0,584835814612171;-0,07080242694920652;0,2471971353080937;-0,4660393732340387;0,8825341014728179;-0,24566151653873267;-0,17032487118891193;0,10975591132668769;-0,21132783963874813;-0,020085848253228428
2013Q4;-2,143193389713836;-0,7132437990092358;-0,11280801899850271;0,08319183344186716;0,014306440406089416;-0,6380209542170772;-0,5430854677994953;0,21616344791961076;0,08213572056125824;-0,10724081795278907;-0,01738681795921616
2014Q1;-2,5897324006310813;0,620743824668512;1,4465459036254604;0,1313154106166385;-0,42207722166079675;1,1597098083514228;0,37012923062416886;-0,2702179861119663;0,24059255289522372;-0,22272948086427635;0,04407707431260513
2014Q2;-2,292094745542267;-0,06985850085825406;1,1310972999717146;-0,02013578734579479;-0,13651925754687202;0,06167849823532343;0,31452431638873546;-0,06323876608770036;0,2427277438051263;-0,12162163211751632;0,013095127846510879
2014Q3;-2,401722378179584;-0,2169196882561077;-0,26588388870148477;-0,09212056769810113;-0,7614304053002124;-0,148463439982484;0,11952035428901495;-0,0908204606201145;0,15867898511064848;-0,17952213208776177;0,0036513683653460922
2014Q4;-2,00411372673467;0,027597708042797597;-0,35338061150176653;-0,3323670435325548;-0,19915427627711557;0,06572111852569491;-0,18072279609742012;0,30275254230058807;0,257412868554995;-0,16476180486912145;-0,04404614582460203
2015Q1;-2,5543397093273423;0,01813376057524327;0,7306176768641091;-0,3308286835014855;-0,5797288330437914;-0,035567450599079675;0,963509157961923;-0,1468952192066235;-0,3186473735698511;-0,014466951301077354;-0,03900656446677517
