period;bnp_tillvaxt_pct;inflation_pct;arbetsloshet_pct;investeringar_pct;reporate_pct;provision_netto_mnkr;ct_antal_milj;ct_varde_meur;foretag_inlaning_mnkr;kassa_inlaning_mnkr;cash_asset_kvot
2018Q1;1,8;1,7;6,8;5,4;-0,5;68150,0;1466,6052;18231583,7915;864770,0;1127194;0,0760873813414954
2018Q2;1,9;1,9;7,0;1,5;-0,5;68150,0;1466,6052;18231583,7915;870115,3333333334;1120825;0,0742377011942213
2018Q3;1,5;2,1;6,1;-2,6;-0,5;68150,0;1466,6052;18231583,7915;873931,3333333334;1129229;0,0722499543650756
2018Q4;2,4;2,1;6,1;1,0;-0,5;68150,0;1466,6052;18231583,7915;904047,3333333334;1192740;0,0788798602206075
2019Q1;2,1;1,8999999999999997;7,4;-3,8;-0,2698412698412698;77803,0;1497,733;18425921,4;935662,3333333334;1206303;0,0742748750943903
2019Q2;2,7;2,0333333333333337;7,2;-1,5;-0,25;77803,0;1497,733;18425921,4;941796,3333333334;1236624;0,0755056923995891
2019Q3;2,6;1,5333333333333332;6,7;-2,3;-0,25;77803,0;1497,733;18425921,4;958090,6666666666;1279405;0,0766010967672715
2019Q4;3,1;1,7333333333333334;6,6;6,7;-0,25;77803,0;1497,733;18425921,4;977835,0;1303685;0,0756810092062882
2020Q1;2,8;0,9666666666666668;7,9;6,9;-0,0119047619047619;77556,0;1725,763;18674162,254;1005324,6666666666;1408793;0,0825135867249457
2020Q2;-7,7;0,0999999999999999;9,4;-0,9;0,0;77556,0;1725,763;18674162,254;1139742,6666666667;1566997;0,0878004783818503
2020Q3;-1,6;0,5666666666666668;9,0;5,7;0,0;77556,0;1725,763;18674162,254;1183235,3333333333;1595717;0,0855869598121558
2020Q4;-2,0;0,3333333333333333;8,3;-2,9;0,0;77556,0;1725,763;18674162,254;1247592,3333333333;1702312;0,0887140133748083
2021Q1;0,7;1,5666666666666669;9,9;4,1;0,0;88088,0;1918,051;21849539,396;1258873,3333333333;1746818;0,0841218147221194
2021Q2;10,6;1,7666666666666668;9,9;11,1;0,0;88088,0;1918,051;21849539,396;1309172,6666666667;1897324;0,0895153315417597
2021Q3;4,2;2,0;8,3;5,9;0,0;88088,0;1918,051;21849539,396;1358298,3333333333;1959823;0,0918091875380445
2021Q4;4,9;3,3333333333333335;7,5;5,8;0,0;88088,0;1918,051;21849539,396;1416119,3333333333;1979192;0,0853190835403596
2022Q1;2,2;4,666666666666667;8,1;-0,1;0,0;91828,0;;;1454357,3333333333;2090014;0,0927568399722672
2022Q2;2,0;7,466666666666666;8,2;0,3;0,1625;91828,0;;;1435474,3333333333;2071715;0,0976754293076782
2022Q3;2,1;9,7;6,5;2,1;0,8484848484848485;91828,0;;;1412886,0;2135350;0,098502649932787
2022Q4;-1,0;11,566666666666668;6,8;-1,2;2,0078125;91828,0;;;1375113,3333333333;2010895;0,0884173082202755
2023Q1;0,7;11,433333333333332;7,8;-0,3;2,7578125;99804,0;;;1346058,6666666667;1889763;0,0901233199013669
2023Q2;-1,1;9,833333333333334;8,1;-1,9;3,3389830508474576;99804,0;;;1288361,0;1831167;0,0845349652925824
2023Q3;0,3;7,766666666666667;7,2;0,1;3,753846153846154;99804,0;;;1294957,3333333333;1787966;0,0848677537793449
2023Q4;0,4;5,566666666666666;7,4;2,5;4,0;99804,0;;;1301583,3333333333;1810191;0,0826758404939346
2024Q1;0,1;4,666666666666667;8,7;-0,9;4,0;106929,0;;;1275411,0;1738770;0,0715913363600834
2024Q2;0,6;3,4;8,9;-0,9;3,870833333333333;106929,0;;;1247834,6666666667;1786213;0,0739132397627163
2024Q3;0,8;2,033333333333333;7,8;0,9;3,640151515151515;106929,0;;;1241528,0;1748411;0,0705244844351376
2024Q4;2,5;1,3333333333333333;7,9;1,7;3,004032258064516;106929,0;;;1281210,3333333333;1831914;0,0745573357362109
2025Q1;0,4;0,9;9,3;-1,9;2,3548387096774195;106929,0;;;1289846,3333333333;1767525;0,0749894072331362
2025Q2;2,3;0,3999999999999999;9,3;3,8;2,233050847457627;106929,0;;;1268544,6666666667;1798787;0,0774293060763676
2025Q3;2,6;0,9;8,2;1,0;2,0;106929,0;;;1276861,3333333333;1821454;0,0779615178392998
2025Q4;2,1;0,5;8,5;4,2;1,75;106929,0;;;1298414,0;1806459;0,0760544025510063
